,,#,#,#,#,#,,,,,,#,#,#,#, ,,,,,,,,,,,,,,,,,,,,,,#,#,#,#,#,,,#,#,,#,#,#,#,#
,25100013,013,Item_Name_25100013,코어-샤일론 III,Item_Desc_25100013,몬스터 도감 등록에 필요한 샤일론 챔피언 몬스터 코어,3,51,0,3,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_003,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100013,코어-샤일론 III,Item_Desc_25100013,몬스터 도감 등록에 필요한 샤일론 챔피언 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100014,014,Item_Name_25100014,코어-샤일론 IV,Item_Desc_25100014,몬스터 도감 등록에 필요한 샤일론 보스 몬스터 코어,3,51,0,4,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_003,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100014,코어-샤일론 IV,Item_Desc_25100014,몬스터 도감 등록에 필요한 샤일론 보스 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100015,015,Item_Name_25100015,코어-샤일론 V,Item_Desc_25100015,몬스터 도감 등록에 필요한 샤일론 레이드 보스 몬스터 코어,3,51,0,5,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_003,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100015,코어-샤일론 V,Item_Desc_25100015,몬스터 도감 등록에 필요한 샤일론 레이드 보스 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100016,016,Item_Name_25100016,코어-그레이트 화이트 혼 I,Item_Desc_25100016,몬스터 도감 등록에 필요한 그레이트 화이트 혼 일반 몬스터 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_004,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100016,코어-그레이트 화이트 혼 I,Item_Desc_25100016,몬스터 도감 등록에 필요한 그레이트 화이트 혼 일반 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100017,017,Item_Name_25100017,코어-그레이트 화이트 혼 II,Item_Desc_25100017,몬스터 도감 등록에 필요한 그레이트 화이트 혼 엘리트 몬스터 코어,3,51,0,2,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_004,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100017,코어-그레이트 화이트 혼 II,Item_Desc_25100017,몬스터 도감 등록에 필요한 그레이트 화이트 혼 엘리트 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100018,018,Item_Name_25100018,코어-그레이트 화이트 혼 III,Item_Desc_25100018,몬스터 도감 등록에 필요한 그레이트 화이트 혼 챔피언 몬스터 코어,3,51,0,3,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_004,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100018,코어-그레이트 화이트 혼 III,Item_Desc_25100018,몬스터 도감 등록에 필요한 그레이트 화이트 혼 챔피언 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100019,019,Item_Name_25100019,코어-그레이트 화이트 혼 IV,Item_Desc_25100019,몬스터 도감 등록에 필요한 그레이트 화이트 혼 보스 몬스터 코어,3,51,0,4,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_004,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100019,코어-그레이트 화이트 혼 IV,Item_Desc_25100019,몬스터 도감 등록에 필요한 그레이트 화이트 혼 보스 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100020,020,Item_Name_25100020,코어-그레이트 화이트 혼 V,Item_Desc_25100020,몬스터 도감 등록에 필요한 그레이트 화이트 혼 레이드 보스 몬스터 코어,3,51,0,5,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_004,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100020,코어-그레이트 화이트 혼 V,Item_Desc_25100020,몬스터 도감 등록에 필요한 그레이트 화이트 혼 레이드 보스 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100021,021,Item_Name_25100021,코어-데카렌 I,Item_Desc_25100021,몬스터 도감 등록에 필요한 데카렌 던전 일반 몬스터 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_012,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100021,코어-데카렌 I,Item_Desc_25100021,몬스터 도감 등록에 필요한 데카렌 던전 일반 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100022,022,Item_Name_25100022,코어-데카렌 II,Item_Desc_25100022,몬스터 도감 등록에 필요한 데카렌 던전 엘리트 몬스터 코어,3,51,0,2,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_012,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100022,코어-데카렌 II,Item_Desc_25100022,몬스터 도감 등록에 필요한 데카렌 던전 엘리트 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100023,023,Item_Name_25100023,코어-데카렌 III,Item_Desc_25100023,몬스터 도감 등록에 필요한 데카렌 던전 챔피언 몬스터 코어,3,51,0,3,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_012,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100023,코어-데카렌 III,Item_Desc_25100023,몬스터 도감 등록에 필요한 데카렌 던전 챔피언 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100024,024,Item_Name_25100024,코어-데카렌 IV,Item_Desc_25100024,몬스터 도감 등록에 필요한 데카렌 던전 보스 몬스터 코어,3,51,0,4,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_012,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100024,코어-데카렌 IV,Item_Desc_25100024,몬스터 도감 등록에 필요한 데카렌 던전 보스 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100025,025,Item_Name_25100025,코어-데카렌 V,Item_Desc_25100025,몬스터 도감 등록에 필요한 데카렌 던전 레이드 보스 몬스터 코어,3,51,0,5,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_012,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100025,코어-데카렌 V,Item_Desc_25100025,몬스터 도감 등록에 필요한 데카렌 던전 레이드 보스 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100026,026,Item_Name_25100026,코어-시루스트 I,Item_Desc_25100026,몬스터 도감 등록에 필요한 시루스트 던전 일반 몬스터 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_013,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100026,코어-시루스트 I,Item_Desc_25100026,몬스터 도감 등록에 필요한 시루스트 던전 일반 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100027,027,Item_Name_25100027,코어-시루스트 II,Item_Desc_25100027,몬스터 도감 등록에 필요한 시루스트 던전 엘리트 몬스터 코어,3,51,0,2,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_013,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100027,코어-시루스트 II,Item_Desc_25100027,몬스터 도감 등록에 필요한 시루스트 던전 엘리트 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100028,028,Item_Name_25100028,코어-시루스트 III,Item_Desc_25100028,몬스터 도감 등록에 필요한 시루스트 던전 챔피언 몬스터 코어,3,51,0,3,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_013,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100028,코어-시루스트 III,Item_Desc_25100028,몬스터 도감 등록에 필요한 시루스트 던전 챔피언 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100029,029,Item_Name_25100029,코어-시루스트 IV,Item_Desc_25100029,몬스터 도감 등록에 필요한 시루스트 던전 보스 몬스터 코어,3,51,0,4,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_013,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100029,코어-시루스트 IV,Item_Desc_25100029,몬스터 도감 등록에 필요한 시루스트 던전 보스 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100030,030,Item_Name_25100030,코어-시루스트 V,Item_Desc_25100030,몬스터 도감 등록에 필요한 시루스트 던전 레이드 보스 몬스터 코어,3,51,0,5,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_013,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100030,코어-시루스트 V,Item_Desc_25100030,몬스터 도감 등록에 필요한 시루스트 던전 레이드 보스 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100031,031,Item_Name_25100031,코어-그라운드 제로 I,Item_Desc_25100031,몬스터 도감 등록에 필요한 그라운드 제로 던전 일반 몬스터 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_014,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100031,코어-그라운드 제로 I,Item_Desc_25100031,몬스터 도감 등록에 필요한 그라운드 제로 던전 일반 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100032,032,Item_Name_25100032,코어-그라운드 제로 II,Item_Desc_25100032,몬스터 도감 등록에 필요한 그라운드 제로 던전 엘리트 몬스터 코어,3,51,0,2,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_014,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100032,코어-그라운드 제로 II,Item_Desc_25100032,몬스터 도감 등록에 필요한 그라운드 제로 던전 엘리트 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100033,033,Item_Name_25100033,코어-그라운드 제로 III,Item_Desc_25100033,몬스터 도감 등록에 필요한 그라운드 제로 던전 챔피언 몬스터 코어,3,51,0,3,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_014,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100033,코어-그라운드 제로 III,Item_Desc_25100033,몬스터 도감 등록에 필요한 그라운드 제로 던전 챔피언 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100034,034,Item_Name_25100034,코어-그라운드 제로 IV,Item_Desc_25100034,몬스터 도감 등록에 필요한 그라운드 제로 던전 보스 몬스터 코어,3,51,0,4,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_014,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100034,코어-그라운드 제로 IV,Item_Desc_25100034,몬스터 도감 등록에 필요한 그라운드 제로 던전 보스 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25100035,035,Item_Name_25100035,코어-그라운드 제로 V,Item_Desc_25100035,몬스터 도감 등록에 필요한 그라운드 제로 던전 레이드 보스 몬스터 코어,3,51,0,5,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,0,0,0,icon_material_monster_core_014,drop_item_receiver,drop_item_material,15,1304,Item_Name_25100035,코어-그라운드 제로 V,Item_Desc_25100035,몬스터 도감 등록에 필요한 그라운드 제로 던전 레이드 보스 몬스터 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011001,001,Item_Name_25011001,구릉지 일반 늑대,Item_Desc_25011001,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 늑대 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_wolf,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011001,구릉지 일반 늑대,Item_Desc_25011001,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 늑대 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011002,002,Item_Name_25011002,구릉지 일반 갑옷쥐,Item_Desc_25011002,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 갑옷쥐 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_rat_armor,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011002,구릉지 일반 갑옷쥐,Item_Desc_25011002,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 갑옷쥐 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011003,003,Item_Name_25011003,구릉지 일반 티그리스,Item_Desc_25011003,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 티그리스 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_tiger_white,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011003,구릉지 일반 티그리스,Item_Desc_25011003,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 티그리스 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011004,004,Item_Name_25011004,구릉지 일반 독전갈,Item_Desc_25011004,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 독전갈 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_scorpion_poison,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011004,구릉지 일반 독전갈,Item_Desc_25011004,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 독전갈 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011005,005,Item_Name_25011005,구릉지 일반 라다,Item_Desc_25011005,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 라다 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_lada,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011005,구릉지 일반 라다,Item_Desc_25011005,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 라다 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011006,006,Item_Name_25011006,구릉지 일반 갑게,Item_Desc_25011006,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 갑게 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_crab_armor,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011006,구릉지 일반 갑게,Item_Desc_25011006,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 갑게 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011007,007,Item_Name_25011007,구릉지 일반 꼬챙이할퍼,Item_Desc_25011007,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 꼬챙이할퍼 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_harper_skewer,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011007,구릉지 일반 꼬챙이할퍼,Item_Desc_25011007,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 꼬챙이할퍼 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011008,008,Item_Name_25011008,구릉지 일반 바다전갈,Item_Desc_25011008,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 바다전갈 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_scorpion_sea,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011008,구릉지 일반 바다전갈,Item_Desc_25011008,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 바다전갈 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011009,009,Item_Name_25011009,구릉지 일반 독각게,Item_Desc_25011009,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 독각게 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_crab_spike,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011009,구릉지 일반 독각게,Item_Desc_25011009,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 독각게 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011010,010,Item_Name_25011010,구릉지 일반 크메로,Item_Desc_25011010,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 크메로 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_kmero,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011010,구릉지 일반 크메로,Item_Desc_25011010,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 크메로 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011011,011,Item_Name_25011011,구릉지 일반 매드사이보그,Item_Desc_25011011,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 매드사이보그 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_madcyborg,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011011,구릉지 일반 매드사이보그,Item_Desc_25011011,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 매드사이보그 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011012,012,Item_Name_25011012,구릉지 일반 철퇴카발,Item_Desc_25011012,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 철퇴카발 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_kabal_mace,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011012,구릉지 일반 철퇴카발,Item_Desc_25011012,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 철퇴카발 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011013,013,Item_Name_25011013,구릉지 일반 칼 드라키온,Item_Desc_25011013,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 칼 드라키온 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_drachyon_sword,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011013,구릉지 일반 칼 드라키온,Item_Desc_25011013,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 칼 드라키온 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25011014,014,Item_Name_25011014,구릉지 일반 마법 드라키온,Item_Desc_25011014,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 마법 드라키온 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_drachyon_magician,drop_item_receiver,drop_item_material,15,1304,Item_Name_25011014,구릉지 일반 마법 드라키온,Item_Desc_25011014,몬스터 도감 등록에 필요한 라그라미아 일반 몬스터 마법 드라키온 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25012001,001,Item_Name_25012001,구릉지 엘리트 독각게,Item_Desc_25012001,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 독각게 코어,3,51,0,2,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_crab_spike,drop_item_receiver,drop_item_material,15,1304,Item_Name_25012001,구릉지 엘리트 독각게,Item_Desc_25012001,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 독각게 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25012002,002,Item_Name_25012002,구릉지 엘리트 늑대,Item_Desc_25012002,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 늑대 코어,3,51,0,2,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_wolf,drop_item_receiver,drop_item_material,15,1304,Item_Name_25012002,구릉지 엘리트 늑대,Item_Desc_25012002,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 늑대 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25012003,003,Item_Name_25012003,구릉지 엘리트 알타이카,Item_Desc_25012003,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 알타이카 코어,3,51,0,2,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_tiger_yellow,drop_item_receiver,drop_item_material,15,1304,Item_Name_25012003,구릉지 엘리트 알타이카,Item_Desc_25012003,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 알타이카 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25012004,004,Item_Name_25012004,구릉지 엘리트 독전갈,Item_Desc_25012004,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 독전갈 코어,3,51,0,2,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_scorpion_poison,drop_item_receiver,drop_item_material,15,1304,Item_Name_25012004,구릉지 엘리트 독전갈,Item_Desc_25012004,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 독전갈 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25012005,005,Item_Name_25012005,구릉지 엘리트 꼬챙이할퍼,Item_Desc_25012005,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 꼬챙이할퍼 코어,3,51,0,2,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_harper_skewer,drop_item_receiver,drop_item_material,15,1304,Item_Name_25012005,구릉지 엘리트 꼬챙이할퍼,Item_Desc_25012005,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 꼬챙이할퍼 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25012006,006,Item_Name_25012006,구릉지 엘리트 라다,Item_Desc_25012006,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 라다 코어,3,51,0,2,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_lada,drop_item_receiver,drop_item_material,15,1304,Item_Name_25012006,구릉지 엘리트 라다,Item_Desc_25012006,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 라다 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25012007,007,Item_Name_25012007,구릉지 엘리트 철퇴카발,Item_Desc_25012007,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 철퇴카발 코어,3,51,0,2,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_kabal_mace,drop_item_receiver,drop_item_material,15,1304,Item_Name_25012007,구릉지 엘리트 철퇴카발,Item_Desc_25012007,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 철퇴카발 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25012008,008,Item_Name_25012008,구릉지 엘리트 매드사이보그,Item_Desc_25012008,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 매드사이보그 코어,3,51,0,2,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_madcyborg,drop_item_receiver,drop_item_material,15,1304,Item_Name_25012008,구릉지 엘리트 매드사이보그,Item_Desc_25012008,몬스터 도감 등록에 필요한 라그라미아 엘리트 몬스터 매드사이보그 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25013001,001,Item_Name_25013001,구릉지 챔피언 매드사이보그,Item_Desc_25013001,몬스터 도감 등록에 필요한 라그라미아 챔피언 몬스터 매드사이보그 코어,3,51,0,3,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_madcyborg,drop_item_receiver,drop_item_material,15,1304,Item_Name_25013001,구릉지 챔피언 매드사이보그,Item_Desc_25013001,몬스터 도감 등록에 필요한 라그라미아 챔피언 몬스터 매드사이보그 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25013002,002,Item_Name_25013002,구릉지 챔피언 칼 드라키온,Item_Desc_25013002,몬스터 도감 등록에 필요한 라그라미아 챔피언 몬스터 칼 드라키온 코어,3,51,0,3,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_drachyon_sword,drop_item_receiver,drop_item_material,15,1304,Item_Name_25013002,구릉지 챔피언 칼 드라키온,Item_Desc_25013002,몬스터 도감 등록에 필요한 라그라미아 챔피언 몬스터 칼 드라키온 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25014001,001,Item_Name_25014001,구릉지 보스 주니어 데미가드,Item_Desc_25014001,몬스터 도감 등록에 필요한 라그라미아 보스 몬스터 주니어 데미가드 코어,3,51,0,4,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,13,0,mob_demiguard_junior,drop_item_receiver,drop_item_material,15,1304,Item_Name_25014001,구릉지 보스 주니어 데미가드,Item_Desc_25014001,몬스터 도감 등록에 필요한 라그라미아 보스 몬스터 주니어 데미가드 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25021001,001,Item_Name_25021001,사막 일반 헬코브라,Item_Desc_25021001,몬스터 도감 등록에 필요한 데카르디 일반 몬스터 헬코브라 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,14,0,mob_cobra_hell,drop_item_receiver,drop_item_material,15,1304,Item_Name_25021001,사막 일반 헬코브라,Item_Desc_25021001,몬스터 도감 등록에 필요한 데카르디 일반 몬스터 헬코브라 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25021002,002,Item_Name_25021002,사막 일반 모크,Item_Desc_25021002,몬스터 도감 등록에 필요한 데카르디 일반 몬스터 모크 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,14,0,mob_morc,drop_item_receiver,drop_item_material,15,1304,Item_Name_25021002,사막 일반 모크,Item_Desc_25021002,몬스터 도감 등록에 필요한 데카르디 일반 몬스터 모크 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25021003,003,Item_Name_25021003,사막 일반 디노,Item_Desc_25021003,몬스터 도감 등록에 필요한 데카르디 일반 몬스터 디노 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,14,0,mob_deenoh,drop_item_receiver,drop_item_material,15,1304,Item_Name_25021003,사막 일반 디노,Item_Desc_25021003,몬스터 도감 등록에 필요한 데카르디 일반 몬스터 디노 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
,25021004,004,Item_Name_25021004,사막 일반 그렘,Item_Desc_25021004,몬스터 도감 등록에 필요한 데카르디 일반 몬스터 그렘 코어,3,51,0,1,1,O,O,O,O,0,0,0,0,0,0,0,100,1000,0,0,1,0,0,25000,14,0,mob_grem,drop_item_receiver,drop_item_material,15,1304,Item_Name_25021004,사막 일반 그렘,Item_Desc_25021004,몬스터 도감 등록에 필요한 데카르디 일반 몬스터 그렘 코어,0,1,1,,,,몬스터 코어,불가,가능,가능,가능
